
Product_name,brand,Active_ingredients,Country_Of_Origin
"Day cream","Minimalist","Vitamin C, Ceramide","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","Ponds","Niacinamide,Rice extracts","India"
"Sunscreen","The Face shop","Vitamin B5","South Korea"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Day cream","Ponds","Kojic Acid,Niacinamide","India"
"Sunscreen","Minimalist","Vitamin B5,Alpha Arbutin,Kojic acid","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","Ponds","Niacinamide","India"
"Day cream","Minimalist","Vitamin E, Vitamin C","India"
"Face Moisturizer","The Derma co.","Rice extracts","India"
"Face Moisturizer","The Face shop","Vitamin C , Rice extracts","South Korea"
"Hand cream","Minimalist","Niacinamide","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","L'Oreal Paris","Kojic Acid, Alpha Arbutin","Indonesia"
"Face Moisturizer","Minimalist","Vitamin C, Arbutin","India"
"Day cream","The Face shop","Niacinamide, Kojic Acid","South Korea"
"Sunscreen","PURITO","Vitamin C, Arbutin","South Korea"
"Face Moisturizer","Minimalist","Niacinamide,kojic acid","India"
"Day cream","L'Oreal Paris","Kojic Acid, Arbutin","Indonesia"
"Face Moisturizer","Ponds","Retinol","India"
"Day cream","Minimalist","Vitamin B5","India"
"Day cream","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Sunscreen","L'Oreal Paris","Kojic Acid, Niacinamide","Indonesia"
"Face Moisturizer","Minimalist","Vitamin C,Rice extracts","India"
"Face Moisturizer","The Derma co.","Niacinamide, Kojic Acid, Arbutin","India"
"Day cream","Ponds","Vitamin E,Ceramide","India"
"Hand cream","Minimalist","Vitamin B5","India"
"Hair serum","The Derma co.","Arbutin,Vitamin E","India"
"Face Moisturizer","PURITO","Kojic Acid, Alpha Arbutin, Niacinamide","South Korea"
"Sunscreen","Minimalist","Vitamin E, Vitamin C","India"
"Sunscreen","Dot & Key","Niacinamide, Kojic Acid, Arbutin","India"
"Face Moisturizer","Dot & Key","Kojic Acid, Alpha Arbutin, Niacinamide","India"
"Face Moisturizer","Minimalist","Ceramide,Rice ","India"
"Sunscreen","The Derma co.","Niacinamide, Arbutin","India"
"Hand cream","Dot & Key","Kojic Acid, Vitamin E","India"
"Face Moisturizer","Dot & Key","Vitamin C,Shea","India"
"Face Moisturizer","PURITO","Centella Asiatica, Panthenol","South Korea"
